Year,ZIP_Code,Cancer Group,Male Count,Female Count,Total_Count
2011-2015,60002,All Cancers Combined,354.00,395.00,749.00
2011-2015,60004,All Cancers Combined,718.00,858.00,1576.00
2011-2015,60044,All Cancers Combined,140.00,177.00,317.00
2011-2015,60045,All Cancers Combined,346.00,353.00,699.00
2011-2015,60046,All Cancers Combined,383.00,474.00,857.00
2011-2015,60047,All Cancers Combined,449.00,582.00,1031.00
2011-2015,60048,All Cancers Combined,329.00,445.00,774.00
2011-2015,60050,All Cancers Combined,363.00,473.00,836.00
2011-2015,60051,All Cancers Combined,303.00,345.00,648.00
2011-2015,60053,All Cancers Combined,406.00,413.00,819.00
2011-2015,60056,All Cancers Combined,699.00,900.00,1599.00
2011-2015,60060,All Cancers Combined,415.00,467.00,882.00
2011-2015,60061,All Cancers Combined,272.00,374.00,646.00
2011-2015,60062,All Cancers Combined,804.00,913.00,1717.00
2011-2015,60064,All Cancers Combined,152.00,163.00,315.00
2011-2015,60065,All Cancers Combined,1.00,4.00,5.00
2011-2015,60067,All Cancers Combined,523.00,606.00,1129.00
2011-2015,60068,All Cancers Combined,571.00,675.00,1246.00
2011-2015,60069,All Cancers Combined,163.00,164.00,327.00
2011-2015,60005,All Cancers Combined,399.00,526.00,925.00
2011-2015,60006,All Cancers Combined,2.00,4.00,6.00
2011-2015,60007,All Cancers Combined,488.00,600.00,1088.00
2011-2015,60008,All Cancers Combined,291.00,289.00,580.00
2011-2015,60009,All Cancers Combined,1.00,1.00,2.00
2011-2015,60010,All Cancers Combined,701.00,764.00,1465.00
2011-2015,60011,All Cancers Combined,8.00,2.00,10.00
2011-2015,60012,All Cancers Combined,125.00,166.00,291.00
2011-2015,60013,All Cancers Combined,269.00,351.00,620.00
2011-2015,60014,All Cancers Combined,525.00,634.00,1159.00
2011-2015,60015,All Cancers Combined,393.00,469.00,862.00
2011-2015,60016,All Cancers Combined,794.00,959.00,1753.00
2011-2015,60017,All Cancers Combined,0.00,4.00,4.00
2011-2015,60018,All Cancers Combined,385.00,384.00,769.00
2011-2015,60019,All Cancers Combined,2.00,2.00,4.00
2011-2015,60020,All Cancers Combined,150.00,168.00,318.00
2011-2015,60021,All Cancers Combined,70.00,71.00,141.00
2011-2015,60022,All Cancers Combined,136.00,163.00,299.00
2011-2015,60025,All Cancers Combined,598.00,779.00,1377.00
2011-2015,60026,All Cancers Combined,232.00,244.00,476.00
2011-2015,60029,All Cancers Combined,8.00,10.00,18.00
2011-2015,60030,All Cancers Combined,415.00,559.00,974.00
2011-2015,60031,All Cancers Combined,404.00,523.00,927.00
2011-2015,60033,All Cancers Combined,181.00,145.00,326.00
2011-2015,60034,All Cancers Combined,38.00,29.00,67.00
2011-2015,60035,All Cancers Combined,539.00,576.00,1115.00
2011-2015,60039,All Cancers Combined,5.00,6.00,11.00
2011-2015,60040,All Cancers Combined,43.00,67.00,110.00
2011-2015,60041,All Cancers Combined,134.00,157.00,291.00
2011-2015,60042,All Cancers Combined,94.00,100.00,194.00
2011-2015,60043,All Cancers Combined,35.00,30.00,65.00
2011-2015,60070,All Cancers Combined,197.00,232.00,429.00
2011-2015,60071,All Cancers Combined,56.00,68.00,124.00
2011-2015,60072,All Cancers Combined,14.00,12.00,26.00
2011-2015,60073,All Cancers Combined,491.00,574.00,1065.00
2011-2015,60074,All Cancers Combined,388.00,504.00,892.00
2011-2015,60075,All Cancers Combined,4.00,3.00,7.00
2011-2015,60076,All Cancers Combined,523.00,562.00,1085.00
2011-2015,60077,All Cancers Combined,407.00,499.00,906.00
2011-2015,60078,All Cancers Combined,3.00,3.00,6.00
2011-2015,60079,All Cancers Combined,3.00,4.00,7.00
2011-2015,60081,All Cancers Combined,150.00,119.00,269.00
2011-2015,60082,All Cancers Combined,6.00,3.00,9.00
2011-2015,60083,All Cancers Combined,112.00,135.00,247.00
2011-2015,60084,All Cancers Combined,195.00,258.00,453.00
2011-2015,60085,All Cancers Combined,535.00,541.00,1076.00
2011-2015,60087,All Cancers Combined,285.00,303.00,588.00
2011-2015,60088,All Cancers Combined,8.00,19.00,27.00
2011-2015,60089,All Cancers Combined,540.00,748.00,1288.00
2011-2015,60090,All Cancers Combined,404.00,530.00,934.00
2011-2015,60091,All Cancers Combined,398.00,550.00,948.00
2011-2015,60093,All Cancers Combined,313.00,345.00,658.00
2011-2015,60096,All Cancers Combined,114.00,100.00,214.00
2011-2015,60097,All Cancers Combined,143.00,143.00,286.00
2011-2015,60098,All Cancers Combined,408.00,418.00,826.00
2011-2015,60099,All Cancers Combined,317.00,378.00,695.00
2011-2015,60101,All Cancers Combined,482.00,491.00,973.00
2011-2015,60102,All Cancers Combined,328.00,386.00,714.00
2011-2015,60103,All Cancers Combined,412.00,535.00,947.00
2011-2015,60104,All Cancers Combined,232.00,280.00,512.00
2011-2015,60106,All Cancers Combined,265.00,242.00,507.00
2011-2015,60107,All Cancers Combined,403.00,436.00,839.00
2011-2015,60108,All Cancers Combined,334.00,431.00,765.00
2011-2015,60109,All Cancers Combined,12.00,10.00,22.00
2011-2015,60110,All Cancers Combined,263.00,274.00,537.00
2011-2015,60111,All Cancers Combined,6.00,10.00,16.00
2011-2015,60112,All Cancers Combined,31.00,44.00,75.00
2011-2015,60113,All Cancers Combined,7.00,3.00,10.00
2011-2015,60115,All Cancers Combined,393.00,424.00,817.00
2011-2015,60118,All Cancers Combined,233.00,224.00,457.00
2011-2015,60119,All Cancers Combined,116.00,145.00,261.00
2011-2015,60120,All Cancers Combined,439.00,445.00,884.00
2011-2015,60121,All Cancers Combined,12.00,5.00,17.00
2011-2015,60123,All Cancers Combined,551.00,612.00,1163.00
2011-2015,60124,All Cancers Combined,294.00,296.00,590.00
2011-2015,60126,All Cancers Combined,602.00,747.00,1349.00
2011-2015,60129,All Cancers Combined,2.00,2.00,4.00
2011-2015,60130,All Cancers Combined,214.00,243.00,457.00
2011-2015,60131,All Cancers Combined,226.00,233.00,459.00
2011-2015,60133,All Cancers Combined,349.00,372.00,721.00
2011-2015,60134,All Cancers Combined,339.00,395.00,734.00
2011-2015,60135,All Cancers Combined,94.00,116.00,210.00
2011-2015,60136,All Cancers Combined,44.00,70.00,114.00
2011-2015,60137,All Cancers Combined,537.00,634.00,1171.00
2011-2015,60138,All Cancers Combined,6.00,2.00,8.00
2011-2015,60139,All Cancers Combined,283.00,332.00,615.00
2011-2015,60140,All Cancers Combined,186.00,185.00,371.00
2011-2015,60141,All Cancers Combined,20.00,8.00,28.00
2011-2015,60142,All Cancers Combined,578.00,562.00,1140.00
2011-2015,60143,All Cancers Combined,156.00,169.00,325.00
2011-2015,60144,All Cancers Combined,7.00,0.00,7.00
2011-2015,60145,All Cancers Combined,55.00,36.00,91.00
2011-2015,60146,All Cancers Combined,33.00,34.00,67.00
2011-2015,60147,All Cancers Combined,5.00,3.00,8.00
2011-2015,60148,All Cancers Combined,713.00,825.00,1538.00
2011-2015,60150,All Cancers Combined,20.00,29.00,49.00
2011-2015,60151,All Cancers Combined,62.00,55.00,117.00
2011-2015,60152,All Cancers Combined,174.00,187.00,361.00
2011-2015,60153,All Cancers Combined,294.00,347.00,641.00
2011-2015,60154,All Cancers Combined,297.00,347.00,644.00
2011-2015,60155,All Cancers Combined,140.00,129.00,269.00
2011-2015,60156,All Cancers Combined,247.00,287.00,534.00
2011-2015,60157,All Cancers Combined,51.00,48.00,99.00
2011-2015,60159,All Cancers Combined,1.00,1.00,2.00
2011-2015,60160,All Cancers Combined,238.00,276.00,514.00
2011-2015,60161,All Cancers Combined,0.00,2.00,2.00
2011-2015,60162,All Cancers Combined,108.00,115.00,223.00
2011-2015,60163,All Cancers Combined,61.00,77.00,138.00
2011-2015,60164,All Cancers Combined,281.00,314.00,595.00
2011-2015,60165,All Cancers Combined,32.00,37.00,69.00
2011-2015,60168,All Cancers Combined,2.00,6.00,8.00
2011-2015,60169,All Cancers Combined,372.00,403.00,775.00
2011-2015,60171,All Cancers Combined,123.00,151.00,274.00
2011-2015,60172,All Cancers Combined,324.00,384.00,708.00
2011-2015,60173,All Cancers Combined,118.00,111.00,229.00
2011-2015,60174,All Cancers Combined,431.00,464.00,895.00
2011-2015,60175,All Cancers Combined,297.00,291.00,588.00
2011-2015,60176,All Cancers Combined,132.00,131.00,263.00
2011-2015,60177,All Cancers Combined,227.00,271.00,498.00
2011-2015,60178,All Cancers Combined,261.00,323.00,584.00
2011-2015,60180,All Cancers Combined,26.00,19.00,45.00
2011-2015,60181,All Cancers Combined,367.00,414.00,781.00
2011-2015,60183,All Cancers Combined,2.00,4.00,6.00
2011-2015,60184,All Cancers Combined,28.00,37.00,65.00
2011-2015,60185,All Cancers Combined,372.00,405.00,777.00
2011-2015,60186,All Cancers Combined,2.00,2.00,4.00
2011-2015,60187,All Cancers Combined,323.00,420.00,743.00
2011-2015,60188,All Cancers Combined,454.00,557.00,1011.00
2011-2015,60189,All Cancers Combined,354.00,552.00,906.00
2011-2015,60190,All Cancers Combined,175.00,207.00,382.00
2011-2015,60191,All Cancers Combined,235.00,225.00,460.00
2011-2015,60192,All Cancers Combined,166.00,217.00,383.00
2011-2015,60193,All Cancers Combined,586.00,639.00,1225.00
2011-2015,60194,All Cancers Combined,244.00,305.00,549.00
2011-2015,60195,All Cancers Combined,25.00,37.00,62.00
2011-2015,60201,All Cancers Combined,507.00,655.00,1162.00
2011-2015,60202,All Cancers Combined,308.00,523.00,831.00
2011-2015,60203,All Cancers Combined,72.00,111.00,183.00
2011-2015,60204,All Cancers Combined,4.00,4.00,8.00
2011-2015,60290,All Cancers Combined,1.00,0.00,1.00
2011-2015,60301,All Cancers Combined,17.00,20.00,37.00
2011-2015,60302,All Cancers Combined,398.00,525.00,923.00
2011-2015,60303,All Cancers Combined,5.00,1.00,6.00
2011-2015,60304,All Cancers Combined,164.00,241.00,405.00
2011-2015,60305,All Cancers Combined,149.00,190.00,339.00
2011-2015,60401,All Cancers Combined,133.00,152.00,285.00
2011-2015,60402,All Cancers Combined,646.00,729.00,1375.00
2011-2015,60403,All Cancers Combined,265.00,311.00,576.00
2011-2015,60404,All Cancers Combined,239.00,285.00,524.00
2011-2015,60406,All Cancers Combined,262.00,290.00,552.00
2011-2015,60407,All Cancers Combined,30.00,22.00,52.00
2011-2015,60408,All Cancers Combined,72.00,78.00,150.00
2011-2015,60409,All Cancers Combined,444.00,570.00,1014.00
2011-2015,60410,All Cancers Combined,163.00,138.00,301.00
2011-2015,60411,All Cancers Combined,696.00,769.00,1465.00
2011-2015,60412,All Cancers Combined,2.00,4.00,6.00
2011-2015,60415,All Cancers Combined,164.00,203.00,367.00
2011-2015,60416,All Cancers Combined,156.00,140.00,296.00
2011-2015,60417,All Cancers Combined,262.00,228.00,490.00
2011-2015,60418,All Cancers Combined,1.00,4.00,5.00
2011-2015,60419,All Cancers Combined,299.00,304.00,603.00
2011-2015,60420,All Cancers Combined,90.00,79.00,169.00
2011-2015,60421,All Cancers Combined,74.00,50.00,124.00
2011-2015,60422,All Cancers Combined,152.00,183.00,335.00
2011-2015,60423,All Cancers Combined,448.00,424.00,872.00
2011-2015,60424,All Cancers Combined,45.00,31.00,76.00
2011-2015,60425,All Cancers Combined,126.00,134.00,260.00
2011-2015,60426,All Cancers Combined,366.00,383.00,749.00
2011-2015,60428,All Cancers Combined,180.00,180.00,360.00
2011-2015,60429,All Cancers Combined,233.00,243.00,476.00
2011-2015,60430,All Cancers Combined,303.00,361.00,664.00
2011-2015,60431,All Cancers Combined,261.00,272.00,533.00
2011-2015,60432,All Cancers Combined,206.00,183.00,389.00
2011-2015,60433,All Cancers Combined,241.00,199.00,440.00
2011-2015,60434,All Cancers Combined,51.00,15.00,66.00
2011-2015,60435,All Cancers Combined,637.00,636.00,1273.00
2011-2015,60436,All Cancers Combined,238.00,244.00,482.00
2011-2015,60437,All Cancers Combined,0.00,4.00,4.00
2011-2015,60438,All Cancers Combined,395.00,479.00,874.00
2011-2015,60439,All Cancers Combined,352.00,362.00,714.00
2011-2015,60440,All Cancers Combined,498.00,622.00,1120.00
2011-2015,60441,All Cancers Combined,368.00,428.00,796.00
2011-2015,60442,All Cancers Combined,114.00,103.00,217.00
2011-2015,60443,All Cancers Combined,326.00,324.00,650.00
2011-2015,60444,All Cancers Combined,34.00,26.00,60.00
2011-2015,60445,All Cancers Combined,369.00,443.00,812.00
2011-2015,60446,All Cancers Combined,409.00,448.00,857.00
2011-2015,60447,All Cancers Combined,160.00,143.00,303.00
2011-2015,60448,All Cancers Combined,376.00,342.00,718.00
2011-2015,60449,All Cancers Combined,151.00,127.00,278.00
2011-2015,60450,All Cancers Combined,336.00,321.00,657.00
2011-2015,60451,All Cancers Combined,423.00,467.00,890.00
2011-2015,60452,All Cancers Combined,414.00,410.00,824.00
2011-2015,60453,All Cancers Combined,854.00,1001.00,1855.00
2011-2015,60454,All Cancers Combined,1.00,2.00,3.00
2011-2015,60455,All Cancers Combined,236.00,262.00,498.00
2011-2015,60456,All Cancers Combined,67.00,77.00,144.00
2011-2015,60457,All Cancers Combined,212.00,230.00,442.00
2011-2015,60458,All Cancers Combined,165.00,154.00,319.00
2011-2015,60459,All Cancers Combined,395.00,398.00,793.00
2011-2015,60460,All Cancers Combined,20.00,23.00,43.00
2011-2015,60461,All Cancers Combined,111.00,108.00,219.00
2011-2015,60462,All Cancers Combined,655.00,836.00,1491.00
2011-2015,60463,All Cancers Combined,366.00,384.00,750.00
2011-2015,60464,All Cancers Combined,212.00,221.00,433.00
2011-2015,60465,All Cancers Combined,289.00,293.00,582.00
2011-2015,60466,All Cancers Combined,247.00,365.00,612.00
2011-2015,60467,All Cancers Combined,463.00,485.00,948.00
2011-2015,60468,All Cancers Combined,104.00,79.00,183.00
2011-2015,60469,All Cancers Combined,62.00,60.00,122.00
2011-2015,60470,All Cancers Combined,9.00,12.00,21.00
2011-2015,60471,All Cancers Combined,168.00,197.00,365.00
2011-2015,60472,All Cancers Combined,85.00,88.00,173.00
2011-2015,60473,All Cancers Combined,330.00,378.00,708.00
2011-2015,60474,All Cancers Combined,15.00,7.00,22.00
2011-2015,60475,All Cancers Combined,154.00,136.00,290.00
2011-2015,60476,All Cancers Combined,37.00,38.00,75.00
2011-2015,60477,All Cancers Combined,618.00,646.00,1264.00
2011-2015,60478,All Cancers Combined,242.00,264.00,506.00
2011-2015,60479,All Cancers Combined,7.00,9.00,16.00
2011-2015,60480,All Cancers Combined,91.00,77.00,168.00
2011-2015,60481,All Cancers Combined,230.00,192.00,422.00
2011-2015,60482,All Cancers Combined,187.00,160.00,347.00
2011-2015,60484,All Cancers Combined,79.00,90.00,169.00
2011-2015,60487,All Cancers Combined,351.00,386.00,737.00
2011-2015,60490,All Cancers Combined,155.00,208.00,363.00
2011-2015,60491,All Cancers Combined,396.00,366.00,762.00
2011-2015,60499,All Cancers Combined,2.00,0.00,2.00
2011-2015,60501,All Cancers Combined,117.00,114.00,231.00
2011-2015,60502,All Cancers Combined,175.00,237.00,412.00
2011-2015,60503,All Cancers Combined,89.00,147.00,236.00
2011-2015,60504,All Cancers Combined,231.00,371.00,602.00
2011-2015,60505,All Cancers Combined,462.00,435.00,897.00
2011-2015,60506,All Cancers Combined,602.00,596.00,1198.00
2011-2015,60507,All Cancers Combined,6.00,10.00,16.00
2011-2015,60510,All Cancers Combined,353.00,443.00,796.00
2011-2015,60511,All Cancers Combined,32.00,25.00,57.00
2011-2015,60512,All Cancers Combined,24.00,16.00,40.00
2011-2015,60513,All Cancers Combined,245.00,280.00,525.00
2011-2015,60514,All Cancers Combined,106.00,154.00,260.00
2011-2015,60515,All Cancers Combined,437.00,486.00,923.00
2011-2015,60516,All Cancers Combined,414.00,465.00,879.00
2011-2015,60517,All Cancers Combined,325.00,475.00,800.00
2011-2015,60518,All Cancers Combined,71.00,43.00,114.00
2011-2015,60519,All Cancers Combined,1.00,5.00,6.00
2011-2015,60520,All Cancers Combined,30.00,50.00,80.00
2011-2015,60521,All Cancers Combined,218.00,257.00,475.00
2011-2015,60522,All Cancers Combined,0.00,3.00,3.00
2011-2015,60523,All Cancers Combined,272.00,269.00,541.00
2011-2015,60525,All Cancers Combined,510.00,604.00,1114.00
2011-2015,60526,All Cancers Combined,208.00,259.00,467.00
2011-2015,60527,All Cancers Combined,433.00,527.00,960.00
2011-2015,60530,All Cancers Combined,10.00,5.00,15.00
2011-2015,60531,All Cancers Combined,34.00,28.00,62.00
2011-2015,60532,All Cancers Combined,326.00,425.00,751.00
2011-2015,60534,All Cancers Combined,134.00,151.00,285.00
2011-2015,60536,All Cancers Combined,6.00,1.00,7.00
2011-2015,60537,All Cancers Combined,17.00,9.00,26.00
2011-2015,60538,All Cancers Combined,295.00,316.00,611.00
2011-2015,60539,All Cancers Combined,0.00,1.00,1.00
2011-2015,60540,All Cancers Combined,531.00,608.00,1139.00
2011-2015,60541,All Cancers Combined,49.00,49.00,98.00
2011-2015,60542,All Cancers Combined,183.00,227.00,410.00
2011-2015,60543,All Cancers Combined,395.00,459.00,854.00
2011-2015,60544,All Cancers Combined,374.00,466.00,840.00
2011-2015,60545,All Cancers Combined,137.00,142.00,279.00
2011-2015,60546,All Cancers Combined,264.00,297.00,561.00
2011-2015,60548,All Cancers Combined,184.00,204.00,388.00
2011-2015,60549,All Cancers Combined,16.00,5.00,21.00
2011-2015,60550,All Cancers Combined,26.00,23.00,49.00
2011-2015,60551,All Cancers Combined,83.00,65.00,148.00
2011-2015,60552,All Cancers Combined,66.00,82.00,148.00
2011-2015,60553,All Cancers Combined,13.00,6.00,19.00
2011-2015,60554,All Cancers Combined,157.00,168.00,325.00
2011-2015,60555,All Cancers Combined,157.00,201.00,358.00
2011-2015,60556,All Cancers Combined,29.00,27.00,56.00
2011-2015,60557,All Cancers Combined,1.00,4.00,5.00
2011-2015,60558,All Cancers Combined,204.00,215.00,419.00
2011-2015,60559,All Cancers Combined,272.00,355.00,627.00
2011-2015,60560,All Cancers Combined,259.00,306.00,565.00
2011-2015,60561,All Cancers Combined,412.00,446.00,858.00
2011-2015,60563,All Cancers Combined,374.00,509.00,883.00
2011-2015,60564,All Cancers Combined,399.00,494.00,893.00
2011-2015,60565,All Cancers Combined,455.00,588.00,1043.00
2011-2015,60567,All Cancers Combined,4.00,7.00,11.00
2011-2015,60585,All Cancers Combined,171.00,244.00,415.00
2011-2015,60586,All Cancers Combined,352.00,456.00,808.00
2011-2015,60598,All Cancers Combined,2.00,2.00,4.00
2011-2015,60601,All Cancers Combined,116.00,154.00,270.00
2011-2015,60602,All Cancers Combined,17.00,23.00,40.00
2011-2015,60603,All Cancers Combined,9.00,10.00,19.00
2011-2015,60604,All Cancers Combined,11.00,5.00,16.00
2011-2015,60605,All Cancers Combined,222.00,256.00,478.00
2011-2015,60606,All Cancers Combined,22.00,29.00,51.00
2011-2015,60607,All Cancers Combined,182.00,186.00,368.00
2011-2015,60608,All Cancers Combined,605.00,567.00,1172.00
2011-2015,60609,All Cancers Combined,542.00,572.00,1114.00
2011-2015,60610,All Cancers Combined,459.00,629.00,1088.00
2011-2015,60611,All Cancers Combined,444.00,567.00,1011.00
2011-2015,60612,All Cancers Combined,396.00,375.00,771.00
2011-2015,60613,All Cancers Combined,408.00,485.00,893.00
2011-2015,60614,All Cancers Combined,586.00,691.00,1277.00
2011-2015,60615,All Cancers Combined,463.00,575.00,1038.00
2011-2015,60616,All Cancers Combined,618.00,700.00,1318.00
2011-2015,60617,All Cancers Combined,985.00,1192.00,2177.00
2011-2015,60618,All Cancers Combined,689.00,827.00,1516.00
2011-2015,60619,All Cancers Combined,920.00,1152.00,2072.00
2011-2015,60620,All Cancers Combined,993.00,1262.00,2255.00
2011-2015,60621,All Cancers Combined,445.00,487.00,932.00
2011-2015,60622,All Cancers Combined,344.00,384.00,728.00
2011-2015,60623,All Cancers Combined,643.00,713.00,1356.00
2011-2015,60624,All Cancers Combined,440.00,528.00,968.00
2011-2015,60625,All Cancers Combined,631.00,739.00,1370.00
2011-2015,60626,All Cancers Combined,519.00,504.00,1023.00
2011-2015,60628,All Cancers Combined,1084.00,1124.00,2208.00
2011-2015,60629,All Cancers Combined,868.00,948.00,1816.00
2011-2015,60630,All Cancers Combined,616.00,741.00,1357.00
2011-2015,60631,All Cancers Combined,436.00,528.00,964.00
2011-2015,60632,All Cancers Combined,591.00,646.00,1237.00
2011-2015,60633,All Cancers Combined,195.00,190.00,385.00
2011-2015,60634,All Cancers Combined,894.00,1025.00,1919.00
2011-2015,60636,All Cancers Combined,483.00,600.00,1083.00
2011-2015,60637,All Cancers Combined,567.00,650.00,1217.00
2011-2015,60638,All Cancers Combined,745.00,833.00,1578.00
2011-2015,60639,All Cancers Combined,694.00,735.00,1429.00
2011-2015,60640,All Cancers Combined,756.00,788.00,1544.00
2011-2015,60641,All Cancers Combined,692.00,796.00,1488.00
2011-2015,60642,All Cancers Combined,133.00,123.00,256.00
2011-2015,60643,All Cancers Combined,791.00,882.00,1673.00
2011-2015,60644,All Cancers Combined,671.00,670.00,1341.00
2011-2015,60645,All Cancers Combined,479.00,557.00,1036.00
2011-2015,60646,All Cancers Combined,364.00,494.00,858.00
2011-2015,60647,All Cancers Combined,587.00,650.00,1237.00
2011-2015,60649,All Cancers Combined,588.00,761.00,1349.00
2011-2015,60651,All Cancers Combined,642.00,770.00,1412.00
